date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:34	526/526	------	200	untouched ('OK')	text/plain	etag:W/%22cacheable:2c40d21767a4133b6a4ff0654d8222a3%22	https://keiton-store-demo.myshopify.com/robots.txt		(from )
11:38:34	342849/342849	------	200	untouched ('OK')	text/html	etag:W/%22cacheable:417e4ae4f456ba8f99c540459456ba27%22	https://keiton-store-demo.myshopify.com/	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/index.html	(from )
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:40%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=146708612543782368551688373236	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/favicon.07025.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:41%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile.2a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	60601/60601	------	200	untouched ('')	image/png	date:Thu,%2011%20Jul%202024%2006:35:50%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/favicon.png?v=146708612543782368551688373236	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/favicon7025.png	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:41%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile.3a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:41%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_57x57.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_57x57.4a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:43%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_57x57.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_57x57.5a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:43%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_60x60.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_60x60.6a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:44%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_60x60.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_60x60.7a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:44%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_72x72.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_72x72.8a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:44%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_72x72.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_72x72.9a7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:44%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_76x76.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_76x76.aa7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:45%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_76x76.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_76x76.ba7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Thu,%2011%20Jul%202024%2008:29:45%20GMT	http://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_114x114.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_114x114.ca7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
11:38:34	156/156	------	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2008:29:45%20GMT	https://keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_114x114.png?576	C:/My%20Web%20Sites/dewst/keiton-store-demo.myshopify.com/cdn/shop/t/2/assets/icon-for-mobile_114x114.da7ae.delayed	(from https://keiton-store-demo.myshopify.com/)
